locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_0546,Synpcc7942_0546,CP000100.1,,527876,530023,+,Na+/H+ antiporter,Inorganic ion transport and metabolism,Q6VYY4,Op426
Synpcc7942_0547,Synpcc7942_0547,CP000100.1,,530057,530566,-,conserved hypothetical protein,No COG annotation,Q31QU0,Op427
Synpcc7942_0548,Synpcc7942_0548,CP000100.1,,530623,531783,-,conserved hypothetical protein,No COG annotation,Q31QT9,Op428
Synpcc7942_0549,Synpcc7942_0549,CP000100.1,,531884,532645,+,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31QT8,Op429
Synpcc7942_0550,Synpcc7942_0550,CP000100.1,,532654,533037,+,hypothetical protein,No COG annotation,Q31QT7,Op429
Synpcc7942_0551,Synpcc7942_0551,CP000100.1,,533570,533941,+,conserved hypothetical protein,No COG annotation,Q31QT6,Op430
Synpcc7942_0552,nfrC,CP000100.1,,534067,535185,+,UDP-N-Acetylglucosamine 2-epimerase,Carbohydrate transport and metabolism,Q31QT5,Op431
Synpcc7942_0553,hlyD1,CP000100.1,,535182,536534,-,Secretion protein HlyD,Cell wall/membrane/envelope biogenesis,Q31QT4,Op432
Synpcc7942_0554,Synpcc7942_0554,CP000100.1,,536594,537685,+,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31QT3,Op433
Synpcc7942_0555,Synpcc7942_0555,CP000100.1,,537790,538509,+,zinc metalloprotease,Amino acid transport and metabolism,Q31QT2,Op434
Synpcc7942_0556,srrB,CP000100.1,,538506,539219,-,two component transcriptional regulator%2C winged helix family,Transcription,Q31QT1,Op435
Synpcc7942_0557,Synpcc7942_0557,CP000100.1,,539414,539605,+,hypothetical protein,No COG annotation,Q31QT0,Op436
Synpcc7942_0558,Synpcc7942_0558,CP000100.1,,539683,540297,+,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Q31QS9,Op437
Synpcc7942_0559,hslO,CP000100.1,,540349,541242,-,33 kDa chaperonin,"Post-translational modification, protein turnover, and chaperones",Q31QS8,Op438
Synpcc7942_0560,Synpcc7942_0560,CP000100.1,,541275,541979,-,ATPase,Inorganic ion transport and metabolism,Q31QS7,Op438
Synpcc7942_0561,Synpcc7942_0561,CP000100.1,,542054,543049,+,hypothetical protein,Function unknown,Q31QS6,Op439
Synpcc7942_0562,Synpcc7942_0562,CP000100.1,,543141,543596,+,conserved hypothetical protein,Function unknown,Q31QS5,Op440
Synpcc7942_0563,uvrB,CP000100.1,,543654,545654,-,Excinuclease ABC subunit B,"Replication, recombination and repair",Q31QS4,Op441
Synpcc7942_0564,Synpcc7942_0564,CP000100.1,,545774,546487,+,ATPase,Defense mechanisms,Q31QS3,Op442
Synpcc7942_0565,Synpcc7942_0565,CP000100.1,,546588,547250,+,FHA domain containing protein,Signal transduction mechanisms,Q31QS2,Op443
Synpcc7942_0566,Synpcc7942_0566,CP000100.1,,547262,548017,+,HAD-superfamily hydrolase subfamily IIB,Function unknown,Q31QS1,Op443
Synpcc7942_0567,Synpcc7942_0567,CP000100.1,,548019,549368,-,conserved hypothetical protein,Energy production and conversion,Q31QS0,Op444
Synpcc7942_0568,codA,CP000100.1,,549371,550687,-,cytosine deaminase,Nucleotide transport and metabolism,Q31QR9,Op444
Synpcc7942_0569,sigA4,CP000100.1,,550718,551653,-,DNA-directed RNA polymerase sigma subunit (sigma70/sigma32)-like,Transcription,Q31QR8,Op444
Synpcc7942_0570,dnaE-C,CP000100.1,,551878,553221,-,DNA polymerase III%2C alpha subunit / Intein,"Replication, recombination and repair",Q31QR7,Op445
Synpcc7942_0571,Synpcc7942_0571,CP000100.1,,553324,554697,-,sugar (Glycoside-Pentoside-Hexuronide) transporter,Inorganic ion transport and metabolism,Q31QR6,Op446
Synpcc7942_0572,Synpcc7942_0572,CP000100.1,,554694,555134,-,conserved hypothetical protein,Amino acid transport and metabolism,Q31QR5,Op446
Synpcc7942_0573,Synpcc7942_0573,CP000100.1,,555297,555533,-,hypothetical protein,No COG annotation,Q31QR4,Op447
Synpcc7942_0574,Synpcc7942_0574,CP000100.1,,555612,556442,+,conserved hypothetical protein,Function unknown,Q31QR3,Op448
Synpcc7942_0575,Synpcc7942_0575,CP000100.1,,556414,556977,-,conserved hypothetical protein,No COG annotation,Q31QR2,Op449
Synpcc7942_0576,thiG,CP000100.1,,557200,558060,+,thiamine biosynthesis protein ThiG,Coenzyme transport and metabolism,Q31QR1,Op450
Synpcc7942_0577,Synpcc7942_0577,CP000100.1,,558144,558314,+,conserved hypothetical protein,No COG annotation,Q31QR0,Op451
Synpcc7942_0578,sqdB,CP000100.1,,558408,559616,+,UDP-sulfoquinovose synthase,Carbohydrate transport and metabolism,Q54734,Op452
Synpcc7942_0579,sqdX,CP000100.1,,559632,560765,+,sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein,Cell wall/membrane/envelope biogenesis,Q9R6U1,Op452
Synpcc7942_0580,mrcA1,CP000100.1,,560720,562537,-,peptidoglycan glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31QQ7,Op453
Synpcc7942_0581,Synpcc7942_0581,CP000100.1,,562634,562981,-,conserved hypothetical protein,No COG annotation,Q31QQ6,Op454
Synpcc7942_0582,Synpcc7942_0582,CP000100.1,,563020,564024,-,conserved hypothetical protein,Function unknown,Q31QQ5,Op454
Synpcc7942_0583,chlI,CP000100.1,,564123,565217,+,protoporphyrin IX magnesium-chelatase,Coenzyme transport and metabolism,Q31QQ4,Op455
Synpcc7942_0584,rpiA,CP000100.1,,565354,566079,-,ribose-5-phosphate isomerase,Carbohydrate transport and metabolism,Q31QQ3,Op456
Synpcc7942_0585,Synpcc7942_0585,CP000100.1,,566168,567388,-,PDZ/DHR/GLGF,"Post-translational modification, protein turnover, and chaperones",Q31QQ2,Op457
Synpcc7942_0586,Synpcc7942_0586,CP000100.1,,567539,568279,-,conserved hypothetical protein,Function unknown,Q31QQ1,Op458
Synpcc7942_0587,valS,CP000100.1,,573854,576583,+,valyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q31QQ0,Op459
Synpcc7942_0588,purN2,CP000100.1,,576665,577840,-,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,Q31QP9,Op460
Synpcc7942_0589,-,CP000100.1,,577911,578573,+,Fe-S-cluster oxidoreductase-like,Function unknown,Q31QP8,Op461
Synpcc7942_0590,Synpcc7942_0590,CP000100.1,,578620,578967,+,membrane protein-like,No COG annotation,Q31QP7,Op462
Synpcc7942_0591,Synpcc7942_0591,CP000100.1,,578972,579298,+,membrane protein-like,Function unknown,Q31QP6,Op462
Synpcc7942_0592,pfkA,CP000100.1,,579312,580394,-,6-phosphofructokinase,Coenzyme transport and metabolism,Q31QP5,Op463
Synpcc7942_0593,Synpcc7942_0593,CP000100.1,,580422,581174,-,hypothetical protein,Function unknown,Q31QP4,Op463
Synpcc7942_0594,Synpcc7942_0594,CP000100.1,,581205,582881,-,conserved hypothetical protein,Function unknown,Q31QP3,Op463
Synpcc7942_0595,Synpcc7942_0595,CP000100.1,,582850,583398,-,hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Q31QP2,Op463
Synpcc7942_0596,Synpcc7942_0596,CP000100.1,,583496,584428,+,delta(24)-sterol C-methyltransferase,Coenzyme transport and metabolism,Q31QP1,Op464
Synpcc7942_0597,Synpcc7942_0597,CP000100.1,,584425,585264,-,1%2C4-Dihydroxy-2-naphthoate synthase,Coenzyme transport and metabolism,Q31QP0,Op465
Synpcc7942_0598,Synpcc7942_0598,CP000100.1,,585701,587473,+,Peptidoglycan-binding LysM,Cell wall/membrane/envelope biogenesis,Q31QN9,Op466
Synpcc7942_0599,Synpcc7942_0599,CP000100.1,,587802,588404,-,putative transcriptional regulator%2C TetR family,Transcription,Q31QN8,Op467
Synpcc7942_0600,spkA,CP000100.1,,588528,590060,-,serine/threonine protein kinase,Transcription,Q31QN7,Op468
Synpcc7942_0601,Synpcc7942_0601,CP000100.1,,590130,590390,-,hypothetical protein,No COG annotation,Q31QN6,Op469
Synpcc7942_0602,Synpcc7942_0602,CP000100.1,,590846,591454,-,conserved hypothetical protein,No COG annotation,Q31QN5,Op470
Synpcc7942_0603,glgC,CP000100.1,,591459,592751,-,Glucose-1-phosphate adenylyltransferase,Coenzyme transport and metabolism,Q31QN4,Op470
Synpcc7942_0604,cbbE,CP000100.1,,592890,593633,+,ribulose-5-phosphate 3-epimerase,Carbohydrate transport and metabolism,Q31QN3,Op471
Synpcc7942_0605,Synpcc7942_0605,CP000100.1,,593711,594694,-,conserved hypothetical protein,Function unknown,Q31QN2,Op472
Synpcc7942_0606,aat,CP000100.1,,594687,595367,-,leucyl/phenylalanyl-tRNA--protein transferase,"Post-translational modification, protein turnover, and chaperones",Q31QN1,Op472
Synpcc7942_0607,Synpcc7942_0607,CP000100.1,,595381,595707,+,conserved hypothetical protein,No COG annotation,Q31QN0,Op473
Synpcc7942_0608,mtnD,CP000100.1,,595756,596298,+,conserved hypothetical protein,Nucleotide transport and metabolism,Q31QM9,Op474
Synpcc7942_0609,ndhD4,CP000100.1,,596382,597872,+,proton-translocating NADH-quinone oxidoreductase%2C chain M,Energy production and conversion,Q8VPU9,Op475
Synpcc7942_0610,Synpcc7942_0610,CP000100.1,,597977,599776,+,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q8VPU8,Op476
Synpcc7942_0611,Synpcc7942_0611,CP000100.1,,599815,602205,+,MutS2 family protein,"Replication, recombination and repair",Q31QM6,Op476
Synpcc7942_0612,gltA,CP000100.1,,602209,603369,-,citrate synthase,Energy production and conversion,Q31QM5,Op477
Synpcc7942_0613,sixA,CP000100.1,,603504,603992,-,phosphohistidine phosphatase%2C SixA,Signal transduction mechanisms,Q31QM4,Op478
Synpcc7942_0614,Synpcc7942_0614,CP000100.1,,603996,605675,-,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31QM3,Op478
Synpcc7942_0615,Synpcc7942_0615,CP000100.1,,605836,606180,+,Rhodanese-like,Inorganic ion transport and metabolism,Q31QM2,Op479
Synpcc7942_0616,hrcA,CP000100.1,,606238,607299,+,heat-inducible transcription repressor HrcA,Transcription,Q31QM1,Op480
Synpcc7942_0617,Synpcc7942_0617,CP000100.1,,607311,607688,-,conserved hypothetical protein,No COG annotation,Q31QM0,Op481
Synpcc7942_0618,ahcY,CP000100.1,,607820,609100,+,adenosylhomocysteinase,Coenzyme transport and metabolism,Q31QL9,Op482
Synpcc7942_0619,Synpcc7942_0619,CP000100.1,,609153,609788,+,conserved hypothetical protein,Function unknown,Q31QL8,Op483
Synpcc7942_0620,Synpcc7942_0620,CP000100.1,,609866,610570,+,conserved hypothetical protein,Function unknown,Q31QL7,Op484
Synpcc7942_0621,Synpcc7942_0621,CP000100.1,,610715,611893,+,conserved hypothetical protein,No COG annotation,Q31QL6,Op485
Synpcc7942_0622,Synpcc7942_0622,CP000100.1,,611915,613912,+,ATPase,Function unknown,Q31QL5,Op485
Synpcc7942_0623,trxB,CP000100.1,,613972,615351,+,thioredoxin reductase,Energy production and conversion,Q31QL4,Op486
Synpcc7942_0624,ldpA,CP000100.1,,615361,616419,+,light dependent period,Energy production and conversion,Q8GLI4,Op486
Synpcc7942_0625,Synpcc7942_0625,CP000100.1,,616419,618185,+,Single-stranded nucleic acid binding R3H,Function unknown,Q31QL2,Op486
Synpcc7942_0626,ilvD,CP000100.1,,618362,620221,+,dihydroxyacid dehydratase,Coenzyme transport and metabolism,Q31QL1,Op487
Synpcc7942_0627,Synpcc7942_0627,CP000100.1,,620462,621226,+,conserved hypothetical protein,Function unknown,Q31QL0,Op488
Synpcc7942_0628,speE,CP000100.1,,621277,622137,+,spermidine synthase,Coenzyme transport and metabolism,Q31QK9,Op489
Synpcc7942_0629,Synpcc7942_0629,CP000100.1,,622134,622340,-,hypothetical protein,No COG annotation,Q31QK8,Op490
Synpcc7942_0630,Synpcc7942_0630,CP000100.1,,622432,623574,+,hypothetical protein,Function unknown,Q31QK7,Op491
Synpcc7942_0631,rplL,CP000100.1,,623876,624262,-,LSU ribosomal protein L12P,"Translation, ribosomal structure and biogenesis",Q31QK6,Op492
Synpcc7942_0632,rplJ,CP000100.1,,624322,624849,-,LSU ribosomal protein L10P,"Translation, ribosomal structure and biogenesis",Q31QK5,Op493
Synpcc7942_0633,rplA,CP000100.1,,625078,625791,-,LSU ribosomal protein L1P,"Translation, ribosomal structure and biogenesis",Q31QK4,Op494
Synpcc7942_0634,rplK,CP000100.1,,625866,626291,-,LSU ribosomal protein L11P,"Translation, ribosomal structure and biogenesis",Q31QK3,Op495
Synpcc7942_0635,nusG,CP000100.1,,626299,626916,-,transcription antitermination protein nusG,Transcription,Q31QK2,Op495
Synpcc7942_0636,secE,CP000100.1,,626925,627170,-,protein translocase subunit secE/sec61 gamma,"Intracellular trafficking, secretion, and vesicular transport",Q31QK1,Op495
Synpcc7942_0637,clpB2,CP000100.1,,627275,629962,-,ATPase,"Post-translational modification, protein turnover, and chaperones",O34209,Op496
Synpcc7942_0638,gloA,CP000100.1,,630050,630463,-,Glyoxalase I,Amino acid transport and metabolism,Q31QJ9,Op497
Synpcc7942_0639,eno,CP000100.1,,630677,631969,+,enolase,Nucleotide transport and metabolism,Q31QJ8,Op498
Synpcc7942_0640,Synpcc7942_0640,CP000100.1,,632225,633991,+,ATPase,Defense mechanisms,Q31QJ7,Op499
Synpcc7942_0641,sdhA,CP000100.1,,634089,635996,-,succinate dehydrogenase subunit A,Energy production and conversion,Q31QJ6,Op500
Synpcc7942_0642,prxQ-B,CP000100.1,,636125,636670,-,bacterioferritin comigratory protein,"Post-translational modification, protein turnover, and chaperones",Q31QJ5,Op501
Synpcc7942_0643,Synpcc7942_0643,CP000100.1,,636762,636965,+,hypothetical protein,No COG annotation,Q31QJ4,Op502
Synpcc7942_0644,cikA,CP000100.1,,637075,639339,+,GAF sensor hybrid histidine kinase,Signal transduction mechanisms,Q9KHI5,Op503
Synpcc7942_0645,hemL,CP000100.1,,639397,640758,+,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,Q31QJ2,Op504
Synpcc7942_0646,Synpcc7942_0646,CP000100.1,,640765,640992,+,hypothetical protein,No COG annotation,Q31QJ1,Op504
Synpcc7942_0647,Synpcc7942_0647,CP000100.1,,641196,641738,+,conserved hypothetical protein,Function unknown,Q31QJ0,Op505
Synpcc7942_0648,Synpcc7942_0648,CP000100.1,,641843,642694,+,hypothetical protein,No COG annotation,Q31QI9,Op506
Synpcc7942_0649,sigA1,CP000100.1,,642767,643966,-,Sigma-70 factor,Transcription,P38023,Op507
Synpcc7942_0650,nat,CP000100.1,,644174,644659,-,conserved hypothetical protein,Transcription,Q31QI7,Op508
Synpcc7942_0651,Synpcc7942_0651,CP000100.1,,644741,647161,+,replication restart DNA helicase PriA,"Replication, recombination and repair",Q31QI6,Op509
Synpcc7942_0652,Synpcc7942_0652,CP000100.1,,647124,648713,-,conserved hypothetical protein,Energy production and conversion,Q31QI5,Op510
Synpcc7942_0653,cdv1,CP000100.1,,648710,649441,-,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family-like,Cell wall/membrane/envelope biogenesis,Q31QI4,Op510
Synpcc7942_0654,ycf,CP000100.1,,649443,650009,-,photosystem I assembly related protein,Function unknown,Q31QI3,Op510
Synpcc7942_0655,psbD1,CP000100.1,,650232,651290,+,photosystem II D2 protein (photosystem q(a) protein),Energy production and conversion,P11005,Op511
Synpcc7942_0656,psbC,CP000100.1,,651274,652659,+,photosystem II 44 kDa subunit reaction center protein,Energy production and conversion,P11004,Op511
Synpcc7942_0657,Synpcc7942_0657,CP000100.1,,653047,653388,-,conserved hypothetical protein,Function unknown,Q31QI0,Op512
Synpcc7942_0658,Synpcc7942_0658,CP000100.1,,653558,653770,-,conserved hypothetical protein,Function unknown,Q31QH9,Op513
Synpcc7942_0659,Synpcc7942_0659,CP000100.1,,653854,655275,-,Rad3-related DNA helicases-like,Transcription,Q31QH8,Op514
Synpcc7942_0660,tyrA,CP000100.1,,655282,656253,+,arogenate dehydrogenase (NADP),Energy production and conversion,Q31QH7,Op515
Synpcc7942_0661,Synpcc7942_0661,CP000100.1,,656270,657874,+,conserved hypothetical protein,Function unknown,Q31QH6,Op515
Synpcc7942_0662,Synpcc7942_0662,CP000100.1,,657943,658857,+,hypothetical protein,Inorganic ion transport and metabolism,Q31QH5,Op516
Synpcc7942_0663,Synpcc7942_0663,CP000100.1,,658977,660875,+,putative adenylate/guanylate cyclase,Signal transduction mechanisms,Q31QH4,Op517
Synpcc7942_0664,Synpcc7942_0664,CP000100.1,,660875,662224,+,Cyclic nucleotide-binding,Cell wall/membrane/envelope biogenesis,Q31QH3,Op517
Synpcc7942_0665,Synpcc7942_0665,CP000100.1,,662232,662978,-,conserved hypothetical protein,Function unknown,Q31QH2,Op518
Synpcc7942_0666,Synpcc7942_0666,CP000100.1,,663141,663761,+,Heat shock protein DnaJ-like,No COG annotation,Q31QH1,Op519
Synpcc7942_0667,Synpcc7942_0667,CP000100.1,,663985,664296,+,conserved hypothetical protein,No COG annotation,Q31QH0,Op520
Synpcc7942_0668,ndhP,CP000100.1,,664306,664446,-,conserved hypothetical protein,Function unknown,Q31QG9,Op521
Synpcc7942_0669,mpg,CP000100.1,,664540,665124,+,DNA-3-methyladenine glycosylase,"Replication, recombination and repair",Q31QG8,Op522
Synpcc7942_0670,pyrB,CP000100.1,,665121,666137,+,aspartate carbamoyltransferase,Nucleotide transport and metabolism,Q31QG7,Op522
Synpcc7942_0671,Synpcc7942_0671,CP000100.1,,666156,666653,+,conserved hypothetical protein,No COG annotation,Q31QG6,Op522
Synpcc7942_0672,sigA3,CP000100.1,,666887,667849,+,group2 RNA polymerase sigma factor SigD,Transcription,Q31QG5,Op523
Synpcc7942_0673,Synpcc7942_0673,CP000100.1,,667849,668931,+,A/G-specific DNA-adenine glycosylase,"Replication, recombination and repair",Q31QG4,Op523
Synpcc7942_0674,hemF,CP000100.1,,669347,670300,+,coproporphyrinogen oxidase,Coenzyme transport and metabolism,Q31QG3,Op524
Synpcc7942_0675,Synpcc7942_0675,CP000100.1,,670297,670818,-,conserved hypothetical protein,Function unknown,Q31QG2,Op525
Synpcc7942_0676,Synpcc7942_0676,CP000100.1,,670914,672119,+,conserved hypothetical protein,Function unknown,Q31QG1,Op526
Synpcc7942_0677,pex,CP000100.1,,672082,672462,-,transcriptional regulator%2C PadR family,Transcription,Q31QG0,Op527
Synpcc7942_0678,rnd,CP000100.1,,672767,673402,+,3'-5' exonuclease,"Replication, recombination and repair",Q31QF9,Op528
Synpcc7942_0679,rbp1,CP000100.1,,673785,674108,+,RNA-binding region RNP-1,Function unknown,Q31QF8,Op529
Synpcc7942_0680,erg3,CP000100.1,,674334,675149,+,C-5 sterol desaturase,Lipid transport and metabolism,Q31QF7,Op530
Synpcc7942_0681,ispD,CP000100.1,,675164,675862,-,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,Q31QF6,Op531
Synpcc7942_0682,Synpcc7942_0682,CP000100.1,,675946,676905,+,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31QF5,Op532
Synpcc7942_0683,Synpcc7942_0683,CP000100.1,,676942,677967,+,potassium channel protein,Inorganic ion transport and metabolism,Q31QF4,Op532
Synpcc7942_0684,fabG,CP000100.1,,678025,678774,+,3-oxoacyl-[acyl-carrier-protein] reductase,Lipid transport and metabolism,Q31QF3,Op533
Synpcc7942_0685,groEL2,CP000100.1,,678881,680548,+,Chaperonin Cpn60/TCP-1,"Post-translational modification, protein turnover, and chaperones",Q31QF2,Op534
Synpcc7942_0686,Synpcc7942_0686,CP000100.1,,680978,682138,+,FO synthase subunit 2,Coenzyme transport and metabolism,Q31QF1,Op535
Synpcc7942_0687,Synpcc7942_0687,CP000100.1,,682128,683747,+,hypothetical protein,Function unknown,Q31QF0,Op535
Synpcc7942_0688,Synpcc7942_0688,CP000100.1,,683722,684060,+,transcriptional regulator%2C ArsR family,Transcription,Q31QE9,Op536
Synpcc7942_0689,Synpcc7942_0689,CP000100.1,,684051,684884,-,hypothetical protein,Function unknown,Q31QE8,Op537
Synpcc7942_0690,clpS1,CP000100.1,,684868,685155,-,conserved hypothetical protein,Function unknown,Q31QE7,Op537
Synpcc7942_0691,Synpcc7942_0691,CP000100.1,,685290,685634,+,hypothetical protein,No COG annotation,Q31QE6,Op538
Synpcc7942_0692,Synpcc7942_0692,CP000100.1,,685631,686185,-,conserved hypothetical protein,No COG annotation,Q31QE5,Op539
Synpcc7942_0693,Synpcc7942_0693,CP000100.1,,686247,687080,-,conserved hypothetical protein,Function unknown,Q31QE4,Op540
Synpcc7942_0694,rpsA1,CP000100.1,,687133,688056,-,SSU ribosomal protein S1P,"Translation, ribosomal structure and biogenesis",Q31QE3,Op541
Synpcc7942_0695,Synpcc7942_0695,CP000100.1,,688334,688840,-,Protein of unknown function DUF193,Transcription,Q31QE2,Op542
